rank,len_titles,time_since_post,points,comments
1,38,4.0,131,180
2,42,3.0,49,4
3,54,5.0,134,68
4,58,6.0,194,72
5,58,4.0,87,40
6,68,0.9666666666666667,78,70
7,44,2.0,30,1
8,39,12.0,391,88
9,52,1.0,24,11
10,36,0.3,57,20
11,70,2.0,1,0
12,64,9.0,170,174
13,45,7.0,138,98
14,23,3.0,26,6
15,30,2.0,42,16
16,46,0.6,4,11
17,68,8.0,109,13
18,80,7.0,247,266
19,80,8.0,88,35
20,76,0.8833333333333333,50,99
21,44,0.13333333333333333,12,2
22,62,4.0,43,22
23,70,6.0,71,73
24,63,3.0,361,201
25,46,8.0,68,8
26,80,1.0,49,51
27,45,21.0,867,500
28,44,8.0,201,336
29,65,3.0,50,13
30,16,2.0,10,4
31,50,14.0,122,137
32,72,2.0,22,31
33,78,11.0,177,37
34,46,20.0,523,108
35,80,19.0,427,164
36,21,14.0,77,21
37,36,15.0,69,10
38,72,19.0,83,53
39,62,12.0,164,149
40,44,21.0,420,190
41,68,3.0,23,11
42,32,1.0,5,0
43,35,12.0,54,44
44,48,0.9,8,2
45,48,11.0,172,152
46,40,18.0,234,73
47,79,10.0,60,44
48,43,19.0,245,100
49,77,14.0,43,9
50,57,24.0,705,600
51,63,0.6,4,0
52,60,1.0,8,2
53,46,9.0,22,2
54,52,24.0,360,415
55,80,2.0,9,2
56,46,3.0,57,85
57,28,18.0,139,71
58,44,16.0,35,16
59,48,11.0,15,1
60,47,19.0,204,116
61,16,23.0,252,230
62,67,12.0,18,3
63,42,6.0,4,0
64,60,21.0,160,3
65,79,15.0,68,8
66,38,22.0,150,61
67,51,14.0,51,47
68,22,2.0,73,169
69,79,7.0,32,13
70,57,8.0,31,0
71,32,17.0,143,44
72,67,21.0,122,97
73,69,24.0,162,140
74,13,24.0,734,300
75,47,24.0,380,230
76,18,14.0,13,6
77,39,23.0,137,38
78,16,23.0,135,93
79,32,22.0,145,23
80,56,24.0,241,144
81,47,20.0,30,12
82,37,24.0,133,55
83,57,12.0,85,143
84,76,24.0,133,73
85,58,8.0,28,3
86,30,20.0,64,60
87,69,10.0,34,21
88,57,4.0,8,4
89,43,21.0,105,26
90,67,24.0,216,76
91,15,23.0,139,37
92,56,24.0,144,113
93,49,17.0,18,0
94,72,24.0,152,95
95,55,22.0,38,0
96,69,11.0,44,10
97,56,21.0,24,1
98,81,16.0,44,13
99,51,9.0,31,2
100,58,24.0,55,114
101,74,15.0,52,39
102,66,18.0,16,16
103,46,48.0,400,699
104,13,24.0,424,299
105,57,0.7166666666666667,3,5
106,77,24.0,237,252
107,66,24.0,480,262
108,47,6.0,5,9
109,37,24.0,669,781
110,60,10.0,42,6
111,55,18.0,49,36
112,80,24.0,29,17
113,31,48.0,438,148
114,53,22.0,58,33
115,32,19.0,20,0
116,63,24.0,200,112
117,23,14.0,11,1
118,31,20.0,20,2
119,17,13.0,6,1
120,47,24.0,41,7
121,31,48.0,666,233
122,45,23.0,26,0
123,51,24.0,142,50
124,63,24.0,187,20
125,19,24.0,52,33
126,42,24.0,84,12
127,48,24.0,207,623
128,48,24.0,241,122
129,20,24.0,315,123
130,54,24.0,232,300
131,74,24.0,72,54
132,23,1.0,32,59
133,63,4.0,6,3
134,31,8.0,18,0
135,79,21.0,24,8
136,53,24.0,116,10
137,41,24.0,90,50
138,68,24.0,154,61
139,21,3.0,7,6
140,27,24.0,112,20
141,75,24.0,370,281
142,50,9.0,12,2
143,13,48.0,502,159
144,70,16.0,38,6
145,34,72.0,702,225
146,50,24.0,61,17
147,19,24.0,63,29
148,26,24.0,981,357
149,50,24.0,54,60
150,41,48.0,290,214
